source,target,weight,sourceArea,sourceCategory,targetArea,targetCategory
582,510,4,1,3,1,0
582,1387,37,1,3,3,3
582,1777,28,1,3,4,5
582,2198,85,1,3,4,1
1345,510,1,3,0,1,0
1345,1387,1,3,0,3,3
1345,1777,1,3,0,4,5
1345,2198,1,3,0,4,1
1324,582,29,1,3,3,0
1324,1381,10,3,0,3,3
1324,1652,22,3,0,4,2
1324,1924,2,3,0,4,0
1745,582,1,1,3,4,2
1745,1381,1,4,2,3,3
1745,1652,1,4,2,4,2
1745,1924,1,4,2,4,0
582,12,4,1,3,0,2
582,1175,21,1,3,3,2
582,1374,29,1,3,3,3
1530,12,1,3,4,0,2
1530,1175,3,3,4,3,2
1530,1374,3,3,4,3,3
1530,1777,3,4,5,3,4
1530,2198,3,4,1,3,4
1324,1175,11,3,0,3,2
1324,1374,12,3,0,3,3
1324,1777,29,4,5,3,0
1324,2198,32,4,1,3,0
1421,1069,1,3,3,2,1
1421,1386,1,3,3,3,3
1421,1387,2,3,3,3,3
1421,2198,2,4,1,3,3
1453,1069,5,3,1,2,1
1453,1386,6,3,1,3,3
1453,1387,9,3,3,3,1
1453,2198,27,4,1,3,1
582,986,18,1,3,2,3
582,1505,2,1,3,3,1
1421,986,1,3,3,2,3
1421,1505,1,3,3,3,1
582,463,2,1,3,1,5
582,718,13,1,3,1,4
582,1068,33,1,3,2,1
582,1454,17,1,3,3,1
1393,463,1,3,3,1,5
1393,718,1,3,3,1,4
1393,1068,1,3,3,2,1
1393,1454,1,3,3,3,1
582,1270,9,1,3,3,5
582,1324,31,1,3,3,0
582,2049,6,1,3,4,3
1376,1270,1,3,3,3,5
1376,1324,1,3,0,3,3
1376,2049,1,3,3,4,3
1376,2198,1,4,1,3,3
582,1479,5,1,3,3,1
582,1516,24,1,3,3,4
582,2199,11,1,3,4,1
582,2209,27,1,3,4,1
1299,1479,1,3,0,3,1
1299,1516,1,3,0,3,4
1299,2199,1,3,0,4,1
1299,2209,1,3,0,4,1
634,582,3,1,3,1,3
634,1887,3,1,3,4,0
634,2198,3,4,1,1,3
634,2209,3,4,1,1,3
2199,582,28,1,3,4,1
2199,1887,4,4,1,4,0
2199,2198,28,4,1,4,1
2199,2209,17,4,1,4,1
634,1704,1,1,3,4,2
651,582,22,1,3,1,1
651,1704,3,1,1,4,2
651,1887,3,4,0,1,1
651,2198,23,4,1,1,1
651,2209,17,4,1,1,1
531,582,2,1,3,1,0
531,594,2,1,0,1,3
531,605,2,1,0,1,3
531,1214,1,1,0,3,2
1374,582,18,1,3,3,3
1374,594,10,3,3,1,3
1374,605,4,3,3,1,3
1374,1214,15,3,3,3,2
277,553,7,0,1,1,0
277,582,37,1,3,0,1
277,594,18,1,3,0,1
277,605,6,1,3,0,1
531,553,1,1,0,1,0
506,238,1,1,0,0,3
506,327,1,1,0,0,4
506,688,1,1,0,1,1
506,2199,1,4,1,1,0
582,238,4,1,3,0,3
582,327,19,1,3,0,4
582,688,11,1,3,1,1
2198,582,31,1,3,4,1
2198,1649,3,4,1,4,2
2198,1979,2,4,1,4,0
2198,2199,7,4,1,4,1
2229,582,1,1,3,4,1
2229,1649,1,4,1,4,2
2229,1979,1,4,1,4,0
2229,2199,1,4,1,4,1
1455,1381,11,3,3,3,1
1455,1777,16,4,5,3,1
1455,2198,26,4,1,3,1
1455,2201,3,3,1,4,1
2197,1381,2,3,3,4,1
2197,1777,2,4,5,4,1
2197,2198,2,4,1,4,1
2197,2201,1,4,1,4,1
2197,1544,1,4,1,4,2
2197,1831,1,4,1,4,5
2209,1381,11,3,3,4,1
2209,1544,2,4,1,4,2
2209,1777,34,4,5,4,1
2209,1831,2,4,1,4,5
