Id,Area,AreaStr,Function,FunctionArea
582,1,JingJiang,商业区,3
1345,3,QingYang,办公区,0
510,1,JingJiang,办公区,0
1387,3,QingYang,商业区,3
1777,4,WuHou,医疗区,5
2198,4,WuHou,住宅区,1
1324,3,QingYang,办公区,0
1745,4,WuHou,学校区,2
1381,3,QingYang,商业区,3
1652,4,WuHou,学校区,2
1924,4,WuHou,办公区,0
1530,3,QingYang,风景区,4
12,0,ChengHua,学校区,2
1175,3,QingYang,学校区,2
1374,3,QingYang,商业区,3
1421,3,QingYang,商业区,3
1453,3,QingYang,住宅区,1
1069,2,JinNiu,住宅区,1
1386,3,QingYang,商业区,3
986,2,JinNiu,商业区,3
1505,3,QingYang,住宅区,1
1393,3,QingYang,商业区,3
463,1,JingJiang,医疗区,5
718,1,JingJiang,风景区,4
1068,2,JinNiu,住宅区,1
1454,3,QingYang,住宅区,1
1376,3,QingYang,商业区,3
1270,3,QingYang,医疗区,5
2049,4,WuHou,商业区,3
1299,3,QingYang,办公区,0
1479,3,QingYang,住宅区,1
1516,3,QingYang,风景区,4
2199,4,WuHou,住宅区,1
2209,4,WuHou,住宅区,1
634,1,JingJiang,商业区,3
1887,4,WuHou,办公区,0
651,1,JingJiang,住宅区,1
1704,4,WuHou,学校区,2
531,1,JingJiang,办公区,0
594,1,JingJiang,商业区,3
605,1,JingJiang,商业区,3
1214,3,QingYang,学校区,2
277,0,ChengHua,住宅区,1
553,1,JingJiang,办公区,0
506,1,JingJiang,办公区,0
238,0,ChengHua,商业区,3
327,0,ChengHua,风景区,4
688,1,JingJiang,住宅区,1
2229,4,WuHou,住宅区,1
1649,4,WuHou,学校区,2
1979,4,WuHou,办公区,0
1455,3,QingYang,住宅区,1
2197,4,WuHou,住宅区,1
2201,4,WuHou,住宅区,1
1544,4,WuHou,学校区,2
1831,4,WuHou,医疗区,5
1772,4,WuHou,医疗区,5
2333,4,WuHou,风景区,4
1750,4,WuHou,学校区,2
2041,4,WuHou,商业区,3
677,1,JingJiang,住宅区,1
711,1,JingJiang,风景区,4
2060,4,WuHou,商业区,3
1444,3,QingYang,商业区,3
1056,2,JinNiu,住宅区,1
1464,3,QingYang,住宅区,1
1132,2,JinNiu,风景区,4
912,2,JinNiu,办公区,0
1131,2,JinNiu,风景区,4
724,1,JingJiang,风景区,4
66,0,ChengHua,学校区,2
194,0,ChengHua,办公区,0
2217,4,WuHou,住宅区,1
692,1,JingJiang,住宅区,1
1719,4,WuHou,学校区,2
1411,3,QingYang,商业区,3
130,0,ChengHua,办公区,0
565,1,JingJiang,办公区,0
111,0,ChengHua,医疗区,5
201,0,ChengHua,商业区,3
216,0,ChengHua,商业区,3
1670,4,WuHou,学校区,2
505,1,JingJiang,办公区,0
517,1,JingJiang,办公区,0
497,1,JingJiang,医疗区,5
494,1,JingJiang,医疗区,5
656,1,JingJiang,住宅区,1
2380,4,WuHou,风景区,4
233,0,ChengHua,商业区,3
975,2,JinNiu,商业区,3
300,0,ChengHua,住宅区,1
976,2,JinNiu,商业区,3
2228,4,WuHou,住宅区,1
585,1,JingJiang,商业区,3
2068,4,WuHou,商业区,3
2211,4,WuHou,住宅区,1
2344,4,WuHou,风景区,4
526,1,JingJiang,办公区,0
2067,4,WuHou,商业区,3
2042,4,WuHou,商业区,3
430,1,JingJiang,学校区,2
2141,4,WuHou,商业区,3
1660,4,WuHou,学校区,2
2196,4,WuHou,住宅区,1
1688,4,WuHou,学校区,2
826,2,JinNiu,学校区,2
1341,3,QingYang,办公区,0
200,0,ChengHua,商业区,3
435,1,JingJiang,学校区,2
1292,3,QingYang,医疗区,5
970,2,JinNiu,商业区,3
1006,2,JinNiu,商业区,3
695,1,JingJiang,住宅区,1
2086,4,WuHou,商业区,3
678,1,JingJiang,住宅区,1
680,1,JingJiang,住宅区,1
84,0,ChengHua,医疗区,5
535,1,JingJiang,办公区,0
288,0,ChengHua,住宅区,1
2210,4,WuHou,住宅区,1
552,1,JingJiang,办公区,0
2146,4,WuHou,商业区,3
2050,4,WuHou,商业区,3
549,1,JingJiang,办公区,0
1283,3,QingYang,医疗区,5
1930,4,WuHou,办公区,0
1898,4,WuHou,办公区,0
2352,4,WuHou,风景区,4
1771,4,WuHou,医疗区,5
1961,4,WuHou,办公区,0
0,0,ChengHua,学校区,2
1577,4,WuHou,学校区,2
2126,4,WuHou,商业区,3
1296,3,QingYang,办公区,0
346,0,ChengHua,风景区,4
999,2,JinNiu,商业区,3
944,2,JinNiu,办公区,0
1474,3,QingYang,住宅区,1
525,1,JingJiang,办公区,0
687,1,JingJiang,住宅区,1
653,1,JingJiang,住宅区,1
1763,4,WuHou,学校区,2
626,1,JingJiang,商业区,3
43,0,ChengHua,学校区,2
401,1,JingJiang,学校区,2
99,0,ChengHua,医疗区,5
139,0,ChengHua,办公区,0
2332,4,WuHou,风景区,4
2085,4,WuHou,商业区,3
2160,4,WuHou,商业区,3
555,1,JingJiang,办公区,0
208,0,ChengHua,商业区,3
1889,4,WuHou,办公区,0
495,1,JingJiang,医疗区,5
1298,3,QingYang,办公区,0
512,1,JingJiang,办公区,0
567,1,JingJiang,办公区,0
412,1,JingJiang,学校区,2
360,1,JingJiang,学校区,2
2239,4,WuHou,住宅区,1
604,1,JingJiang,商业区,3
54,0,ChengHua,学校区,2
151,0,ChengHua,办公区,0
204,0,ChengHua,商业区,3
2390,4,WuHou,风景区,4
2051,4,WuHou,商业区,3
1770,4,WuHou,医疗区,5
1517,3,QingYang,风景区,4
1058,2,JinNiu,住宅区,1
802,2,JinNiu,学校区,2
1208,3,QingYang,学校区,2
1477,3,QingYang,住宅区,1
1388,3,QingYang,商业区,3
1271,3,QingYang,医疗区,5
1246,3,QingYang,医疗区,5
1307,3,QingYang,办公区,0
983,2,JinNiu,商业区,3
1540,3,QingYang,风景区,4
610,1,JingJiang,商业区,3
199,0,ChengHua,商业区,3
142,0,ChengHua,办公区,0
543,1,JingJiang,办公区,0
476,1,JingJiang,医疗区,5
723,1,JingJiang,风景区,4
2216,4,WuHou,住宅区,1
2065,4,WuHou,商业区,3
830,2,JinNiu,学校区,2
581,1,JingJiang,办公区,0
2043,4,WuHou,商业区,3
1067,2,JinNiu,住宅区,1
1216,3,QingYang,学校区,2
1494,3,QingYang,住宅区,1
641,1,JingJiang,商业区,3
785,2,JinNiu,学校区,2
971,2,JinNiu,商业区,3
1073,2,JinNiu,住宅区,1
272,0,ChengHua,住宅区,1
140,0,ChengHua,办公区,0
1129,2,JinNiu,风景区,4
165,0,ChengHua,办公区,0
2075,4,WuHou,商业区,3
1808,4,WuHou,医疗区,5
1888,4,WuHou,办公区,0
2311,4,WuHou,住宅区,1
1389,3,QingYang,商业区,3
1198,3,QingYang,学校区,2
2263,4,WuHou,住宅区,1
507,1,JingJiang,办公区,0
1783,4,WuHou,医疗区,5
984,2,JinNiu,商业区,3
1473,3,QingYang,住宅区,1
945,2,JinNiu,办公区,0
1201,3,QingYang,学校区,2
689,1,JingJiang,住宅区,1
1174,3,QingYang,学校区,2
709,1,JingJiang,住宅区,1
44,0,ChengHua,学校区,2
2185,4,WuHou,商业区,3
1195,3,QingYang,学校区,2
474,1,JingJiang,医疗区,5
1882,4,WuHou,办公区,0
2340,4,WuHou,风景区,4
56,0,ChengHua,学校区,2
2207,4,WuHou,住宅区,1
278,0,ChengHua,住宅区,1
836,2,JinNiu,学校区,2
447,1,JingJiang,学校区,2
600,1,JingJiang,商业区,3
159,0,ChengHua,办公区,0
39,0,ChengHua,学校区,2
148,0,ChengHua,办公区,0
174,0,ChengHua,办公区,0
453,1,JingJiang,医疗区,5
896,2,JinNiu,办公区,0
784,2,JinNiu,学校区,2
861,2,JinNiu,医疗区,5
1849,4,WuHou,医疗区,5
141,0,ChengHua,办公区,0
1288,3,QingYang,医疗区,5
178,0,ChengHua,办公区,0
420,1,JingJiang,学校区,2
527,1,JingJiang,办公区,0
274,0,ChengHua,住宅区,1
1622,4,WuHou,学校区,2
1651,4,WuHou,学校区,2
2048,4,WuHou,商业区,3
899,2,JinNiu,办公区,0
1107,2,JinNiu,住宅区,1
121,0,ChengHua,医疗区,5
131,0,ChengHua,办公区,0
2205,4,WuHou,住宅区,1
1116,2,JinNiu,住宅区,1
144,0,ChengHua,办公区,0
1978,4,WuHou,办公区,0
2087,4,WuHou,商业区,3
625,1,JingJiang,商业区,3
433,1,JingJiang,学校区,2
520,1,JingJiang,办公区,0
1488,3,QingYang,住宅区,1
1318,3,QingYang,办公区,0
872,2,JinNiu,医疗区,5
1521,3,QingYang,风景区,4
904,2,JinNiu,办公区,0
1451,3,QingYang,住宅区,1
2147,4,WuHou,商业区,3
1084,2,JinNiu,住宅区,1
2316,4,WuHou,住宅区,1
2125,4,WuHou,商业区,3
1531,3,QingYang,风景区,4
107,0,ChengHua,医疗区,5
219,0,ChengHua,商业区,3
2206,4,WuHou,住宅区,1
1359,3,QingYang,办公区,0
1239,3,QingYang,医疗区,5
1728,4,WuHou,学校区,2
1124,2,JinNiu,风景区,4
427,1,JingJiang,学校区,2
1459,3,QingYang,住宅区,1
280,0,ChengHua,住宅区,1
696,1,JingJiang,住宅区,1
924,2,JinNiu,办公区,0
518,1,JingJiang,办公区,0
162,0,ChengHua,办公区,0
691,1,JingJiang,住宅区,1
197,0,ChengHua,办公区,0
